,Video ID,Date
0,W2RIcBifpCc,2021-10-16
1,HBFc1eBSfb8,2019-12-17
2,uaocmDf5oFU,2022-12-11
3,mLiPm82GRUo,2022-06-06
4,m6-3r3tD4nY,2020-11-24
5,1e44Km4KaJg,2021-11-23
6,sWEtboeHJl8,2021-09-26
7,nrjJuNbzKRA,2021-07-04
8,Eiz3q9I4lNc,2022-02-11
9,LuzapvPCWp4,2023-01-21
10,fhsgpAxGa0w,2022-01-11
11,UsAJPIANAb8,2018-03-31
12,hVMS5xEhgnE,2022-03-06
13,eoT-jPzV3Wk,2021-06-15
14,W5lzIJ4qY7M,2020-07-08
15,RY47z5pvaEc,2019-02-25
16,mUVz59xCRMI,2019-07-15
17,_bPsHGkwSC8,2022-09-02
18,pioJAenHEMg,2019-11-28
19,ZES4ei524S4,2020-12-19
20,afTb3qPV32E,2020-09-21
21,HlywmW5gfNE,2021-07-04
22,4dosxfNxR6M,2020-11-23
23,mJFwwuEkaC8,2021-06-21
24,44QUjA5NDwY,2022-01-02
25,HtmxS-pF84s,2022-04-13
26,pBcI7Si2S2o,2022-09-10
27,hGdYR1KR3rc,2017-08-31
28,LLqNTIB0Hkg,2016-12-08
29,KI04waB9LyU,2019-09-12
30,pALDTFhEXGA,2018-02-25
31,zIRXS7JfH4Y,2022-03-01
32,wq6dY0bgRcE,2023-02-19
33,szTqlEvdqfE,2021-12-15
34,akTeVcyyJm0,2022-09-21
35,3JLwpTf5uGg,2023-01-01
36,8a8khhZ3l7E,2020-10-11
37,9RdtnfiDi8Q,2021-08-10
38,KjAiUzOPTIs,2021-11-03
39,GruF4juSB-w,2022-08-26
40,Z9oO0p0E05c,2022-01-11
41,3BlTXhhbOro,2023-02-20
42,SIXVpmJoC8U,2022-05-21
43,IkpyzOV-tpg,2020-11-21
44,99tdkP47a4o,2022-07-23
45,2qS8orjWg_w,2022-09-26
46,M4OWcoxAGmI,2018-02-26
47,74E627Smv4Q,2022-09-06
48,I2lmtUC3nH8,2020-12-17
49,sz7yW06scgk,2021-12-01
50,IqqRWzNSqr0,2021-01-06
51,M_HVYMvtP7U,2022-09-18
52,1KfTmRYRLZs,2022-05-27
53,EYfsbt3CYOc,2022-08-10
54,AzmDrmFSg-U,2021-12-12
55,OMDhc5OJ4vU,2021-10-05
56,bn3tJlIIst8,2022-06-04
57,zX_7S8gDoJ8,2022-01-30
