,Video ID,Date
0,HdG_0yv7gAs,2020-06-03
1,eoHSi2kQNCA,2021-06-13
2,bmf4_zXCXbs,2023-01-31
3,7VKU-dvQv3c,2021-01-24
4,c4We3Ine47Q,2022-06-01
5,UaVM8IUACMw,2021-08-03
6,rGFZ9j-qey0,2022-06-23
7,DxQX6K8L6hU,2022-04-26
8,3SBdvo6AML4,2022-03-08
9,t2JTOE76q0E,2022-11-28
10,Ey1X-x4DG0Q,2022-05-13
11,LRSTMZW8pk8,2023-02-10
12,WloJUuDxZJs,2018-05-05
13,VRzaodb22u4,2020-01-19
14,DtcsX7WuITY,2020-07-12
15,gwiY1p0gIhY,2022-10-20
16,pXypSbaEIQA,2022-05-01
17,iFiujv-Girk,2022-04-19
18,yNqcUcrMigY,2021-06-16
19,dNRDq6xBEqo,2018-04-23
20,kPhGxoL59BM,2019-04-06
21,sz6SdHaV8W0,2023-02-21
22,J2MaBEw63lQ,2022-04-14
23,g_SsU5RnAng,2022-07-21
24,7q3picbFJy0,2022-12-11
25,7Xx5WzT-WJI,2022-08-12
26,rkVKi5a7euQ,2022-12-12
27,hEUbzIcCp5w,2022-04-23
28,GK-W25RM87Q,2019-05-22
29,DkMFO_F_4HE,2022-12-06
30,5G_7N0ergKM,2021-04-11
31,TsBa5mjlw98,2022-12-08
32,7yYQnZpb-vU,2022-10-18
33,7CIhS3YMdkM,2022-11-11
34,U31sHvJGue4,2022-10-10
35,8_3HdL0dRgI,2021-03-30
36,1CXKCQn9b04,2021-06-30
37,SRGSDzmdTbw,2022-12-14
38,izkR7xywEa8,2022-10-29
39,lgFgmzE7Kkk,2021-12-25
40,ZICQpY83Y6Y,2022-07-21
41,rzIZBSpctNA,2018-11-21
42,4lfsBv2169s,2023-01-24
43,k8TpHT1h9sQ,2020-09-05
44,fEsBHmn9VPQ,2022-11-09
45,3j4CJXWIXxE,2021-11-06
46,ArcTJ7X1U7E,2022-08-02
47,jMhFeexD52A,2022-12-20
48,Ya0S6ySFDnU,2022-03-07
49,_4HIJxcWewU,2022-08-13
50,iUDe81-p_70,2021-08-31
51,2Dq2I_ctZuE,2022-02-23
52,cVC4ggy3_Hs,2023-01-15
53,D532_ix9qLQ,2022-09-01
54,llNNuR-x8yE,2020-10-04
55,Qpm3iry5CB0,2022-02-19
56,3OBdinnCFD8,2022-12-10
57,4LPUeOdVeiM,2023-01-26
58,WFe7X1oSirU,2022-06-01
59,JFBGz6vDxmY,2022-12-30
60,dOnvrMEciO4,2022-08-26
61,aZllZv7W49o,2021-11-24
62,RMpvMSz9Ij0,2022-01-13
63,w84z_e_lo7Q,2021-05-28
64,pSXFvEZRRXo,2023-01-31
65,tGrmOMo1Zp4,2022-12-27
66,reiG7lg1_Fc,2023-02-19
