,Video ID,Date
0,7JDFXo-eEC8,2018-07-13
1,7JDFXo-eEC8,2019-03-03
2,7JDFXo-eEC8,2021-09-15
3,7JDFXo-eEC8,2021-04-01
4,J3PLg5e7k1I,2020-05-07
5,J3PLg5e7k1I,2021-06-13
6,J3PLg5e7k1I,2022-03-10
7,J3PLg5e7k1I,2019-01-19
8,EgmUZki7obM,2021-08-22
9,EgmUZki7obM,2022-12-23
10,0ghQbVTdPpY,2020-08-28
11,WtDennuqfgE,2022-10-09
12,jRKrtpRM7ms,2023-02-05
13,jRKrtpRM7ms,2022-08-27
14,xRwGtsdnpD0,2022-09-17
15,Qo6FTx0uKb8,2021-05-29
16,Qo6FTx0uKb8,2023-01-19
17,Tu2DDX8XKio,2021-05-09
18,Tu2DDX8XKio,2022-03-22
19,bLJfi8dKNWQ,2022-01-23
20,Gy65ehvMunQ,2021-02-09
21,0Vr8B7B7zRo,2023-01-18
22,63OPQ8NkS-U,2020-08-27
23,63OPQ8NkS-U,2021-05-10
24,0R_QUt0mad4,2023-02-11
25,58uNc45OZrk,2021-03-15
26,qSgegai7oPI,2022-07-15
27,qSgegai7oPI,2023-01-24
28,qSgegai7oPI,2022-06-11
29,7jPzuQtXR3A,2021-03-14
30,xZx5h8WDdgo,2022-11-12
31,oOKOTH9Dcx0,2022-03-05
32,XoX_xbtm5eE,2021-12-10
33,OFaUFD6bjmA,2023-01-22
34,OFaUFD6bjmA,2022-10-15
35,HXsJum9EOQE,2022-10-04
36,OKV2C80iUGc,2022-05-19
37,Z2bbRsVrakQ,2020-12-05
38,RqGuOi8ECXA,2022-02-07
39,CagMTr6tYF8,2021-04-13
40,Rfy471YwHmU,2020-03-31
41,0Ixf6F1a9kY,2020-11-23
42,0Ixf6F1a9kY,2020-11-23
43,Xi9VBdYxOxU,2022-11-22
44,wSgJXGAJaz4,2019-03-28
45,wSgJXGAJaz4,2019-01-17
46,wSgJXGAJaz4,2019-06-20
47,wSgJXGAJaz4,2022-06-24
48,wSgJXGAJaz4,2022-12-11
49,wSgJXGAJaz4,2019-05-18
50,wSgJXGAJaz4,2020-06-21
51,LUevMk9Q0eU,2022-07-15
52,LUevMk9Q0eU,2020-12-07
53,LUevMk9Q0eU,2020-10-08
54,LUevMk9Q0eU,2022-07-09
55,LUevMk9Q0eU,2020-11-05
56,LUevMk9Q0eU,2021-02-27
57,LUevMk9Q0eU,2021-11-23
58,LUevMk9Q0eU,2022-03-21
59,LUevMk9Q0eU,2021-01-08
60,LUevMk9Q0eU,2021-11-19
61,LUevMk9Q0eU,2020-10-16
62,LUevMk9Q0eU,2020-12-22
63,LUevMk9Q0eU,2021-12-21
64,LUevMk9Q0eU,2021-12-20
65,LUevMk9Q0eU,2021-01-27
66,LUevMk9Q0eU,2023-01-01
67,LUevMk9Q0eU,2020-12-12
68,LUevMk9Q0eU,2022-06-10
69,LUevMk9Q0eU,2022-07-09
70,v7IbV_XVKXI,2020-07-11
71,v7IbV_XVKXI,2022-08-08
72,v7IbV_XVKXI,2020-09-04
73,v7IbV_XVKXI,2019-01-27
74,v7IbV_XVKXI,2019-04-05
75,v7IbV_XVKXI,2019-08-08
76,v7IbV_XVKXI,2022-01-29
77,tzH0AIO7s4o,2022-10-25
78,tzH0AIO7s4o,2022-04-17
79,tzH0AIO7s4o,2022-12-23
80,tzH0AIO7s4o,2023-01-13
81,tzH0AIO7s4o,2022-05-19
82,tzH0AIO7s4o,2022-10-26
83,tzH0AIO7s4o,2022-07-04
84,tzH0AIO7s4o,2022-08-21
85,tzH0AIO7s4o,2022-12-01
86,tzH0AIO7s4o,2022-11-14
87,tzH0AIO7s4o,2022-09-30
88,tzH0AIO7s4o,2022-09-07
89,tzH0AIO7s4o,2022-07-03
90,tzH0AIO7s4o,2023-01-15
91,tzH0AIO7s4o,2022-12-31
92,tzH0AIO7s4o,2022-10-04
93,tzH0AIO7s4o,2023-02-17
94,tzH0AIO7s4o,2022-12-21
95,tzH0AIO7s4o,2022-11-13
96,tzH0AIO7s4o,2023-01-11
97,tzH0AIO7s4o,2023-02-02
98,tzH0AIO7s4o,2022-08-09
99,tzH0AIO7s4o,2022-04-04
100,tzH0AIO7s4o,2022-08-02
101,tzH0AIO7s4o,2022-07-09
102,tzH0AIO7s4o,2022-10-15
