,Video ID,Date
0,Xi9VBdYxOxU,2021-03-20
1,wSgJXGAJaz4,2019-01-30
2,wSgJXGAJaz4,2023-02-20
3,wSgJXGAJaz4,2023-02-15
4,wSgJXGAJaz4,2019-08-06
5,wSgJXGAJaz4,2020-01-26
6,wSgJXGAJaz4,2019-02-03
7,wSgJXGAJaz4,2021-09-12
8,wSgJXGAJaz4,2021-12-22
9,wSgJXGAJaz4,2019-07-09
10,wSgJXGAJaz4,2019-02-20
11,LUevMk9Q0eU,2023-02-23
12,LUevMk9Q0eU,2021-05-30
13,LUevMk9Q0eU,2021-12-06
14,LUevMk9Q0eU,2021-07-01
15,v7IbV_XVKXI,2020-09-02
16,v7IbV_XVKXI,2020-03-25
17,v7IbV_XVKXI,2018-05-19
18,v7IbV_XVKXI,2019-11-07
19,v7IbV_XVKXI,2022-05-04
20,v7IbV_XVKXI,2020-06-09
21,tzH0AIO7s4o,2022-12-01
22,tzH0AIO7s4o,2023-01-30
23,tzH0AIO7s4o,2022-05-20
24,tzH0AIO7s4o,2023-01-11
25,tzH0AIO7s4o,2023-01-27
26,tzH0AIO7s4o,2022-11-24
27,tzH0AIO7s4o,2023-02-09
28,tzH0AIO7s4o,2022-11-29
29,IUI1M8HQenc,2022-04-21
30,IUI1M8HQenc,2021-12-07
31,IUI1M8HQenc,2022-04-09
32,IUI1M8HQenc,2022-11-23
33,IUI1M8HQenc,2021-03-20
34,IUI1M8HQenc,2022-01-04
35,RgkWhTOtCK4,2023-01-27
36,RgkWhTOtCK4,2022-03-23
37,RgkWhTOtCK4,2022-08-05
38,RgkWhTOtCK4,2022-07-12
39,RgkWhTOtCK4,2022-03-09
40,RgkWhTOtCK4,2022-12-21
41,RgkWhTOtCK4,2023-02-19
42,RgkWhTOtCK4,2022-09-18
43,RgkWhTOtCK4,2022-08-08
44,RgkWhTOtCK4,2022-07-06
45,RgkWhTOtCK4,2022-07-29
46,RgkWhTOtCK4,2023-01-31
47,gfxhjcX_d84,2023-01-04
48,gfxhjcX_d84,2022-08-05
49,0JGvRupEFF4,2022-02-05
50,0JGvRupEFF4,2019-09-11
51,0JGvRupEFF4,2019-12-23
52,0JGvRupEFF4,2021-10-15
53,8XkIVvMgNL4,2022-07-23
54,8XkIVvMgNL4,2022-11-26
55,8XkIVvMgNL4,2022-07-02
56,8XkIVvMgNL4,2022-08-13
57,8XkIVvMgNL4,2022-09-08
58,8XkIVvMgNL4,2022-07-28
59,dgo_j1siJCQ,2023-02-03
60,dgo_j1siJCQ,2022-11-14
61,dgo_j1siJCQ,2022-11-14
62,dgo_j1siJCQ,2022-07-31
63,dgo_j1siJCQ,2022-08-18
64,dgo_j1siJCQ,2022-09-06
65,dgo_j1siJCQ,2022-06-28
66,dgo_j1siJCQ,2022-09-19
67,I1GfloHyn4A,2022-08-19
68,I1GfloHyn4A,2023-02-13
69,I1GfloHyn4A,2022-12-20
70,I1GfloHyn4A,2022-11-17
71,3UYmduf_mkA,2021-02-15
72,3UYmduf_mkA,2022-08-08
73,3UYmduf_mkA,2022-08-10
74,FPfpQdTgjrw,2021-07-22
75,U2esBaPCGT0,2022-03-12
76,U2esBaPCGT0,2018-12-27
77,U2esBaPCGT0,2021-12-17
78,U2esBaPCGT0,2019-06-29
79,7-nib_tqW78,2020-05-11
80,7-nib_tqW78,2022-04-12
81,msG7_yQkHGM,2022-11-16
82,msG7_yQkHGM,2022-08-02
83,msG7_yQkHGM,2022-10-16
84,msG7_yQkHGM,2022-06-17
85,msG7_yQkHGM,2022-10-18
86,msG7_yQkHGM,2022-10-25
87,F8gN0Ra7hKI,2020-01-11
88,s2bUGajEfPM,2018-07-10
89,s2bUGajEfPM,2021-03-26
90,s2bUGajEfPM,2018-11-25
91,PcHZLurLFv0,2021-08-03
92,PcHZLurLFv0,2022-04-17
93,PcHZLurLFv0,2023-01-01
94,PcHZLurLFv0,2021-08-12
95,PcHZLurLFv0,2022-02-20
96,PcHZLurLFv0,2020-06-19
97,PcHZLurLFv0,2021-01-15
98,PcHZLurLFv0,2020-06-21
99,gK5ey1U9UCI,2021-04-12
100,gK5ey1U9UCI,2022-08-10
101,gK5ey1U9UCI,2021-07-06
102,fFQ7Jsn4yu8,2017-01-19
103,fFQ7Jsn4yu8,2022-12-22
104,fFQ7Jsn4yu8,2022-12-15
105,PCcFRskSDiU,2019-10-18
106,PCcFRskSDiU,2022-12-15
107,PCcFRskSDiU,2021-07-10
108,UcortPYk4ro,2022-09-22
