,Video ID,Date
0,tzH0AIO7s4o,2022-06-17
1,gfxhjcX_d84,2022-10-28
2,8XkIVvMgNL4,2022-09-22
3,dgo_j1siJCQ,2022-08-18
4,msG7_yQkHGM,2022-10-05
5,msG7_yQkHGM,2022-07-24
6,UcortPYk4ro,2022-05-05
7,NPdnbLql0Jo,2022-04-29
8,GQESWCzd1lo,2022-07-25
9,GQESWCzd1lo,2021-11-28
10,aeycw4IW02E,2020-01-24
11,fvm8afdCUC4,2022-08-28
12,y0PsWUg1oJA,2021-02-19
13,psqIFCj64Fk,2022-05-19
14,oXO_gSj2WNE,2022-04-06
15,oXO_gSj2WNE,2021-11-10
16,W88DdnSWsGo,2022-07-24
17,ECj8cblnntI,2023-01-01
18,ECj8cblnntI,2022-10-12
19,zztFC94nsMA,2022-02-07
20,IuXRf-omer8,2022-09-05
21,f6lq-2XfgrU,2022-10-18
22,24bD6sxG4Xk,2022-12-10
23,nQ9--YpQHnY,2021-11-16
24,nQ9--YpQHnY,2022-09-16
25,nQ9--YpQHnY,2021-09-22
26,2-hBeTPRbpg,2023-02-21
27,x261tJ2ex1M,2021-10-27
28,8xmRDTcGTSs,2022-08-29
29,HhmGu6oqGd4,2021-12-11
30,mWSkOvOTnKs,2021-11-27
31,SZzMzn2jmuM,2021-12-08
32,SZzMzn2jmuM,2022-09-22
33,IdIprktcWxM,2022-12-24
34,00OYsbRxREg,2022-07-07
35,00OYsbRxREg,2022-10-01
36,00OYsbRxREg,2022-08-22
37,00OYsbRxREg,2022-08-31
38,ieK-KgtL-uo,2022-08-24
39,ieK-KgtL-uo,2021-10-10
40,ieK-KgtL-uo,2021-12-22
41,ieK-KgtL-uo,2022-02-03
42,ieK-KgtL-uo,2022-01-23
43,2YiUrDbN5t4,2022-06-06
44,m_vRxgOaCpU,2022-11-19
45,SV6ubmSGIhE,2023-01-04
46,hfl884_V4Xg,2022-07-26
47,r_mmR8shOU0,2022-06-29
48,DFql_Jqjob8,2023-01-11
49,DFql_Jqjob8,2022-05-16
50,X6tDhfj8sVU,2022-08-06
51,elA5GsHf48M,2023-02-08
52,rY82ibtRKfQ,2022-09-25
53,v7gnqODMmCw,2022-01-16
54,vwmQosC33wU,2022-06-20
55,vwmQosC33wU,2022-07-26
56,NfTSSVtN5p8,2022-10-15
57,tTCTo97u21o,2022-08-14
58,_VHMXPjkIzQ,2022-05-17
59,XjO5SViNz_c,2022-03-27
60,R8X-js9w37k,2022-11-17
61,R8X-js9w37k,2022-08-15
62,DBCSikkfj50,2022-03-14
63,DBCSikkfj50,2022-03-24
64,3HCBxmkcfhY,2022-09-24
65,3HCBxmkcfhY,2021-10-21
66,R3YrlDqhhuc,2022-11-28
