,Video ID,Video Title,Duration in Minutes,Published Datetime
0,yVOyGkDqhH8,How To Complete Advanced Analysis 10X Faster Than in Excel,63.93,2017-06-25 07:20:18
1,ctt1vMtS48Q,"Enterprise DNA Learning Summit - February 2020, Advanced Visualization Ideas",47.75,2020-02-17 21:26:53
2,Ymj35VyD_vc,Enterprise DNA Business Intelligence Summit - Evaluating Your Data and Planning Your Model,66.27,2020-11-15 21:18:27
3,oFQm4haDdfs,Enterprise DNA Webinar Series - Introduction To DAX Formulas In Power BI,62.77,2021-01-28 21:08:33
4,UehUIjQJTCM,High Level Analytics w/ Power BI - Enterprise DNA Webinar,46.35,2020-10-29 21:23:12
5,dLhUvylFM2k,"Enterprise DNA Learning Summit - August 2019, DAX Fundamentals",45.12,2019-08-13 02:23:04
6,ARZXfRQsWrI,Empowering Sales Teams w/Power BI - Enterprise DNA Webinar Series,69.9,2020-06-25 23:50:32
7,blgShsAD-5s,Understanding Your Customer Better w/Power BI - Enterprise DNA Training Workshop,46.85,2019-04-05 01:00:41
8,9ALriSkJHeY,Discovering Advanced Insights w-Power BI - Enterprise DNA Webinar Series,51.48,2019-09-12 00:27:43
9,nDJaJ-ITwwU,"Enterprise DNA Learning Summit - August 2019, DAX Formula Combinations",48.38,2019-08-14 02:25:36
10,EV6KpZmw1ds,"Enterprise DNA Learning Summit - August 2019, Optimizing DAX Formulas",50.22,2019-08-15 02:27:51
11,qIbBjqi557M,Steps To Mastering Power BI & DAX,60.05,2019-09-05 00:37:02
12,iR-LrJHTe3M,Advanced Budgeting Insights In Power BI - Enterprise DNA Webinar Series,55.55,2019-04-18 00:35:51
13,pO0bWrGm6rE,"Enterprise DNA Learning Summit - May 2019, Logistics Management",38.3,2019-05-22 02:14:51
14,ptCp0oEODQA,Steps To Mastering Power BI & DAX,60.02,2019-03-22 00:03:03
15,5eiPaGjJYfk,Enterprise DNA Business Intelligence Summit - Enhancing Your Insights and Value Proposition,59.02,2020-11-17 21:14:28
16,9CdFb_9rpwY,How Data Literacy Is Changing The Way People Work With Jamie Beason,58.47,2020-12-28 01:00:01
17,Boqaf4IEHI0,Creating A Data Culture Using Power BI With Brian Julius,64.87,2020-11-30 09:40:53
18,EdJkfzSqOh4,"Enterprise DNA Learning Summit - February 2020, Measure Branching Methodology",52.15,2020-02-16 21:32:02
19,8t3NyCc2gZc,Enterprise DNA Business Intelligence Summit - Thinking Analytically and Developing Effectively,68.43,2020-11-16 21:35:52
20,gBn680v0A5k,Enterprise DNA Business Intelligence Summit - Distributing Your Analysis & Driving Better Decisions,60.93,2020-11-18 21:08:02
21,n_Ki8XA4cCY,Advanced Budgeting Insights In Power BI - Enterprise DNA Webinar Series,55.52,2017-12-14 22:00:04
22,RMq0woUue4g,Enterprise DNA Business Intelligence Summit - Enhancing Your Insights & Value Proposition,58.98,2020-05-19 23:34:55
23,vbPVTaRK2tY,"Enterprise DNA Learning Summit - November 2019, Dynamic Grouping Concepts",55.13,2019-11-11 21:28:50
24,h6eCr698qgU,"Enterprise DNA Learning Summit - November 2019, Virtual Table Exploration",56.93,2019-11-10 21:36:03
